Vessel_Name,Flag,Callsign,Vessel_Type,AIS_Type,Year_Built,GT,DWT,Size_m
NAVIOS STELLAR,Panama,3FCJ,Bulk Carrier,Cargo ship,2009,88421,88421,288 / 45
GREEN GALAXY,Panama,H3LH,Bulk Carrier,Cargo ship,2006,88523,88523,289 / 45
SEA COEN,Marshall Islands,V7A2897,Bulk Carrier,Cargo ship,2005,88594,88594,289 / 45
STAR TRIUMPH,Liberia,D5PH2,Bulk Carrier,Cargo ship,2004,88594,88594,289 / 45
HL BALTIMORE,Panama,H8PX,Bulk Carrier,Cargo ship,2006,88541,88541,289 / 45
BULK CHINA,Malta,9HA2735,Bulk Carrier,Cargo ship,2005,88661,88661,289 / 45
SUNNY CONAKRY,Panama,3FLA8,Bulk Carrier,Cargo ship,2002,88702,88702,289 / 45
WINDSOR KNUTSEN,Norway,LAEE7,Crude Oil Tanker,Tanker,2007,88704,88704,281 / 50
INA,Malta,9HRS7,Bulk Carrier,Cargo ship,2003,88702,88702,289 / 45
GREEN TRADER,Marshall Islands,V7IJ3,Crude Oil Tanker,Tanker,1993,88886,88886,275 / 50
OCEAN QUEST,Norway,LAUW5,LNG Tanker,Tanker (HAZ-A),1979,88919,88919,289 / 41
ORION VOYAGER,Bahamas,-,Crude Oil Tanker,-,1994,88919,88919,274 / 50
ROBUSTO,Malta,9HA2121,Bulk Carrier,Cargo ship,2006,88930,88930,289 / 45
GIANT SLOTTA,Marshall Islands,V7SC2,Bulk Carrier,Cargo ship,2006,88930,88930,289 / 45
AQUAKATIE,Liberia,D5QL9,Bulk Carrier,Cargo ship,2007,88955,88955,289 / 45
NEW ELIAS,Panama,3EKF9,Bulk Carrier,Cargo ship,2007,88955,88955,289 / 45
FRONT GUIDER,Singapore,-,Bulk Carrier,-,1991,89004,89004,285 / 45
SETSUYO STAR,Bahamas,-,Bulk Carrier,-,1985,88921,88921,290 / 46
FRONT RIDER,Singapore,-,Bulk Carrier,-,1992,89004,89004,285 / 45
AQUA CHALLENGER,Singapore,-,Bulk Carrier,-,1992,89004,89004,285 / 45
OOCL TOKYO,Hong Kong,VRCI9,Container Ship,Cargo ship,2007,89010,89010,323 / 43
CLIMBER,Congo,-,Bulk Carrier,-,1991,89004,89004,285 / 45
OOCL SOUTHAMPTON,Hong Kong,VRCU7,Container Ship,Cargo ship,2007,89010,89010,323 / 43
MAERSK LIRQUEN,Hong Kong,VRKB8,Container Ship,Cargo ship (HAZ-A),2011,89097,89097,300 / 46
